2019-04-13 08:57:36.442  INFO [aps-server,,,] 20668 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$471510d1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-13 08:58:28.077  INFO [aps-server,,,] 20668 --- [AsyncReporter{org.springframework.cloud.sleuth.zipkin2.sender.RestTemplateSender@19489b27}] c.netflix.config.ChainedDynamicProperty  : Flipping property: localhost.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2019-04-13 08:58:28.090  INFO [aps-server,,,] 20668 --- [AsyncReporter{org.springframework.cloud.sleuth.zipkin2.sender.RestTemplateSender@19489b27}] c.n.u.concurrent.ShutdownEnabledTimer    : Shutdown hook installed for: NFLoadBalancer-PingTimer-localhost
2019-04-13 08:58:28.091  INFO [aps-server,,,] 20668 --- [AsyncReporter{org.springframework.cloud.sleuth.zipkin2.sender.RestTemplateSender@19489b27}] c.netflix.loadbalancer.BaseLoadBalancer  : Client: localhost instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=localhost,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
2019-04-13 08:58:28.096  INFO [aps-server,,,] 20668 --- [AsyncReporter{org.springframework.cloud.sleuth.zipkin2.sender.RestTemplateSender@19489b27}] c.n.l.DynamicServerListLoadBalancer      : Using serverListUpdater PollingServerListUpdater
2019-04-13 08:58:28.100  INFO [aps-server,,,] 20668 --- [AsyncReporter{org.springframework.cloud.sleuth.zipkin2.sender.RestTemplateSender@19489b27}] c.n.l.DynamicServerListLoadBalancer      : DynamicServerListLoadBalancer for client localhost initialized: DynamicServerListLoadBalancer:{NFLoadBalancer:name=localhost,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:org.springframework.cloud.netflix.ribbon.eureka.DomainExtractingServerList@43949f8d
2019-04-13 08:58:40.440  INFO [aps-server,,,] 20668 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2019-04-13 08:58:40.441  INFO [aps-server,,,] 20668 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2019-04-13 08:58:40.441  INFO [aps-server,,,] 20668 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2019-04-13 08:58:40.441  INFO [aps-server,,,] 20668 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application is null : false
2019-04-13 08:58:40.441  INFO [aps-server,,,] 20668 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2019-04-13 08:58:40.441  INFO [aps-server,,,] 20668 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application version is -1: false
2019-04-13 08:58:40.441  INFO [aps-server,,,] 20668 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2019-04-13 08:58:40.487  INFO [aps-server,,,] 20668 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : The response status is 200
2019-04-13 09:00:28.673  INFO [aps-server,,,] 23580 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$c06e47c8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-13 09:00:33.766  INFO [aps-server,,,] 23580 --- [main] com.weshare.phoenix.Application          : No active profile set, falling back to default profiles: default
2019-04-13 09:00:34.768  WARN [aps-server,,,] 23580 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-04-13 09:00:35.030  INFO [aps-server,,,] 23580 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=878f5ec2-3773-31fd-a04f-620da710aef6
2019-04-13 09:00:35.293  INFO [aps-server,,,] 23580 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$c06e47c8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-13 09:00:35.699  INFO [aps-server,,,] 23580 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 3111 (http)
2019-04-13 09:00:35.816  INFO [aps-server,,,] 23580 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-04-13 09:00:35.817  INFO [aps-server,,,] 23580 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-04-13 09:00:36.028  INFO [aps-server,,,] 23580 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-04-13 09:00:36.028  INFO [aps-server,,,] 23580 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2253 ms
2019-04-13 09:00:36.181  WARN [aps-server,,,] 23580 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-04-13 09:00:36.182  INFO [aps-server,,,] 23580 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-04-13 09:00:36.191  INFO [aps-server,,,] 23580 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@fd09e43
2019-04-13 09:00:45.335  INFO [aps-server,,,] 23580 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2019-04-13 09:00:45.460  WARN [aps-server,,,] 23580 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-04-13 09:00:45.460  INFO [aps-server,,,] 23580 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-04-13 09:00:45.692  INFO [aps-server,,,] 23580 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-04-13 09:00:56.341  INFO [aps-server,,,] 23580 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2019-04-13 09:00:56.384  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2019-04-13 09:00:59.196  INFO [aps-server,,,] 23580 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2019-04-13 09:00:59.196  INFO [aps-server,,,] 23580 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2019-04-13 09:00:59.319  INFO [aps-server,,,] 23580 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2019-04-13 09:00:59.319  INFO [aps-server,,,] 23580 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2019-04-13 09:00:59.494  INFO [aps-server,,,] 23580 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-04-13 09:01:01.876  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2019-04-13 09:01:01.876  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2019-04-13 09:01:01.876  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2019-04-13 09:01:01.876  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
2019-04-13 09:01:01.876  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2019-04-13 09:01:01.876  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2019-04-13 09:01:01.876  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2019-04-13 09:01:02.043  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2019-04-13 09:01:02.046  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2019-04-13 09:01:02.048  INFO [aps-server,,,] 23580 --- [main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-04-13 09:01:02.051  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1555117262050 with initial instances count: 1
2019-04-13 09:01:02.059  INFO [aps-server,,,] 23580 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application APS-SERVER with eureka with status UP
2019-04-13 09:01:02.060  INFO [aps-server,,,] 23580 --- [main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1555117262060, current=UP, previous=STARTING]
